id		en	en-context		zh	zh-context		ja	ja-context		ko	ko-context
mainSetting_setName		Name Set	A name for this packing set		名称设定	该包装集的名称		セットに名前を付ける	このパッキンセットの名前		세트의 이름을	이 포장 세트의 이름
mainSetting_maxSize		Maximum Size	Select the maximum texture size you want to allow in the packing process.		最大尺寸	选择要允许在包装过程中的最大纹理尺寸。		最大サイズ	あなたはパッキングプロセスに許可する最大テクスチャサイズを選択します。		최대 크기	당신이 포장 과정에서 허용 할 최대 텍스처 크기를 선택합니다.
mainSetting_pixPadding		Padding Size	Padding space in pixels between each packed cluster.		填充尺寸	在每个像素堆团簇之间填充空间。		パディングサイズ	各パッククラスタ間のピクセル単位でのパディングスペース。		패딩 크기	각 포장 클러스터 사이의 픽셀의 여백 공간.
mainSetting_createNewSet		Create new Set	Create a new Packing Set without removing any current packed sets.		创建新组	创建一个新的包装设置而不删除任何现有包装套。		新しいセットを作成	任意の現在のパックセットを削除せずに新しい梱包セットを作成します。		새 집합 만들기	현재의 모든 포장 세트를 제거하지 않고 새로운 포장 세트를 만듭니다.
mainSetting_packItems		Pack @ items	"Pack the UV's of the objects that are in the selection list."		@包项目	“包中的紫外线的是在选择列表中的对象。”		項目@パック	「UVの選択リストにあるオブジェクトのパック。 "		상품 포장 @	"UV의 선택 목록에있는 개체의 팩."
												
progressBarBuild_title		Building Atlas			建筑图集			建物アトラス			건물의 아틀라스	
progressBarAssign_title		Assign Textures & UV's			指定纹理和紫外线的			割り当てるテクスチャ＆紫外線の			할당 질감 및 UV의	
												
												
												
mainSettingAdvanced_title		Advanced Settings			高级设置			[詳細設定]			고급 설정	
mainSettingAdvanced_titleTexture		Texture			质地			テクスチャー			조직	
mainSettingAdvanced_forceSquare		Square Texture	This will force the generated texture to always be square.		方形纹理	这将迫使生成的纹理始终不散。		正方形のテクスチャ	これは、常に正方形である生成されたテクスチャを強制します。		평방 텍스처	이것은 항상 사각형으로 생성 된 텍스처를 강제 할 것이다.
mainSettingAdvanced_pixelPad		Pixel Extending	Add pixels around the packed clusters to avoid seams when your models use mip mapping.		像素扩展	新增围的水泄不通集群像素，以避免接缝时，你的模型使用MIP映射。		ピクセル拡張	お使いのモデルがミップマッピングを使用するときに継ぎ目を避けるために、パックされたクラスタの周辺の画素を追加します。		픽셀 확장	당신의 모델은 밉 매핑을 사용할 때 솔기를 방지하기 위해 포장 클러스터 주변에 픽셀을 추가합니다.
mainSettingAdvanced_ignoreAlphaChannel		Ignore Alpha Channel	Ignores the alpha channel of any packed texture.		忽略Alpha通道	忽略任何包装的纹理的alpha通道。		アルファチャンネルを無視	いずれのパックテクスチャのアルファチャンネルを無視します。		알파 채널에게 무시	모든 포장 텍스처의 알파 채널을 무시합니다.
mainSettingAdvanced_titleMaterial		Material			材料			素材			자료	
mainSettingsAdvanced_material		Shared Material	The shared material to assign. If not assigned Packer Pro will create one for you.		共享材料	共用材料分配。如果没有指定帕克Pro将会为您创建一个。		共有素材	割り当てるための共有材料。割り当てられていない場合パッカーProはあなたのための1が作成されます。		공유 자료	할당하는 공유 소재. 패커를 지정하지 않으면 프로 당신을 위해 하나를 만들 것입니다.
mainSettingAdvanced_titleStack		Stack Elements			堆栈元素			スタックの要素			스택 요소	
mainSettingAdvanced_stackIfEnable		Stack Similar Items	When enabled this will stack similar UV clusters or clusters that share the same texture region.		栈相似资料	当启用此将堆叠类似紫外线集群或集群共享相同的纹理区域。		同様の商品を積み重ねる	有効にするとこれは、同じテクスチャ領域を共有して同様のUVクラスタまたはクラスタをスタックします。		유사 항목 스택	활성화되면이 비슷한 UV 클러스터 또는 같은 질감 영역을 공유 클러스터 스택됩니다.
mainSettingAdvanced_stackIfOverlaps		Stack if matches	When UV clusters match the same texture area they can be stacked. This value describes the volume booth areas need to share at least in order to stack.		如果堆火柴	当紫外线集群匹配相同的纹理区域，他们可以堆叠。这个值说明音量摊位内需要共享至少为叠加。		一致した場合、スタック	UVのクラスタが同じテクスチャ領域と一致する場合、それらは積層することができる。この値は、ブースエリアは、スタックするためには、少なくとも共有する必要があるボリュームについて説明します。		스택과 일치하는 경우	UV 클러스터가 동일한 텍스처 영역 합하면 그들이 적층 될 수있다. 이 값은 영역이 적어도 스택하기 위해 공유해야하는 볼륨 부스를 설명합니다.
mainSettingAdvanced_titleTexel		Uniform Texel Scale			统一特克塞尔规模			均一なテクセルスケール			균일 한 텍셀 규모	
mainSettingAdvanced_texelDo		Scale Uniform	These options let you match all pixels on the mesh surfaces (texels) to be consistent.		规模统一	这些选项可让您匹​​配的网格曲面上的所有像素（纹理）是一致的。		スケールの制服	これらのオプションは、一貫して、メッシュの表面上の全てのピクセル（テクセル）と一致してみましょう。		스케일 유니폼	이 옵션을 사용하면 일관성이 있어야 메쉬 표면에 모든 픽셀 (텍셀)와 일치 할 수 있습니다.
